index,Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Year,Month,Day,Location,Region,Is_northeast,Is_midwest,Is_territory,Is_south,Is_west,EV_Density,Days_Since_First_Record,Quarter,County_EV_Mean,State_EV_Mean,Vehicle_Size_Bin,EV_Percent_Bin,BEV_in_West,Winter_EV,EV_Growth_Rate,Market_Growth_Rate,EV_Z_Score,BEV_Percentage,PHEV_Percentage,EV_to_NonEV_Ratio,Dominant_EV_Type,West_BEV
65,2023-10-31,Texas,MO,Passenger,1,0,1,2,3,33.33333333333333,2023,10,31,"Texas, MO",Midwest,0,1,0,0,0,0.3333333333333333,2464,4,33.33333333333333,9.508726758783093,Tiny,Very High,,0,,,2.734556748265583,33.33,0.0,0.5,BEV,0
66,2021-06-30,Jefferson,WA,Truck,0,0,0,9621,9621,0.0,2021,6,30,"Jefferson, WA",West,0,0,0,0,1,0.0,1611,2,3.8775385909493782,0.49610926478863887,Medium,,0,0,,,-0.4232681630823851,0.0,0.0,0.0,Equal,0
67,2020-02-29,Garfield,WA,Truck,0,0,0,963,963,0.0,2020,2,29,"Garfield, WA",West,0,0,0,0,1,0.0,1124,1,0.7355328302422363,0.49610926478863887,Small,,0,0,,,-0.4232681630823851,0.0,0.0,0.0,Equal,0
68,2022-09-30,Wahkiakum,WA,Truck,1,0,1,1798,1799,0.0555864369093941,2022,9,30,"Wahkiakum, WA",West,0,0,0,0,1,0.0005558643690939411,2068,3,0.5262021235367276,0.49610926478863887,Medium,Low,1,0,-0.9090909090909091,-0.40371229698375866,-0.41800219602621835,0.06,0.0,0.0005561735261401557,BEV,1
69,2023-08-31,Horry,SC,Passenger,1,0,1,11,12,8.333333333333332,2023,8,31,"Horry, SC",South,0,0,0,1,0,0.08333333333333333,2403,3,11.984126984126984,3.044068324394799,Tiny,Very High,,0,,,0.3661880647546069,8.33,0.0,0.09090909090909091,BEV,0
70,2022-01-31,Franklin,OH,Passenger,1,0,1,66,67,1.492537313432836,2022,1,31,"Franklin, OH",Midwest,0,1,0,0,0,0.014925373134328358,1826,1,2.843016393011232,10.156803262744363,Tiny,Medium,,1,,,-0.28187301779814766,1.49,0.0,0.015151515151515152,BEV,0
71,2019-02-28,Moore,NC,Passenger,0,1,1,183,184,0.5434782608695652,2019,2,28,"Moore, NC",South,0,0,0,1,0,0.005434782608695652,758,1,0.7599383657554526,5.916470008427661,Small,Low,,1,,,-0.37178188735388557,0.0,0.54,0.00546448087431694,PHEV,0
72,2018-11-30,Washoe,NV,Passenger,1,0,1,116,117,0.8547008547008547,2018,11,30,"Washoe, NV",West,0,0,0,0,1,0.008547008547008548,668,4,2.799448220735839,2.9512552393848557,Small,Low,1,0,,,-0.3422982935606423,0.85,0.0,0.008620689655172414,BEV,1
73,2025-02-28,Solano,CA,Passenger,3,0,3,135,138,2.1739130434782608,2025,2,28,"Solano, CA",West,0,0,0,0,1,0.021739130434782608,2950,1,1.6172823348503058,2.3763470968966462,Small,High,3,3,,,-0.21732306016838712,2.17,0.0,0.022222222222222223,BEV,1
74,2021-05-31,Thurston,WA,Truck,0,0,0,56527,56527,0.0,2021,5,31,"Thurston, WA",West,0,0,0,0,1,0.0,1581,2,0.7381821933671064,0.49610926478863887,Large,,0,0,,,-0.4232681630823851,0.0,0.0,0.0,Equal,0
